product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color,revenue
"ProBook 450 G7 (128GB, Green)",Laptops,750,0,773,HP,8.25,625,1/23/2022,green,579750
"Originals Trefoil Hoodie (Blue, M)",Clothing,60,432,8,Adidas,8.5,5,11/23/2022,blue,480
Poäng Armchair (Black),Furniture,89,30,558,IKEA,8.27,451,7/19/2025,black,49662
Tech Deck (Purple),Toys,15.99,298,797,Spin Master,8.75,638,9/3/2022,purple,12744.03
"MDR-1AM2 (Wired, Blue)",Headphones,249.99,289,892,Sony,8.75,721,11/6/2024,red,222991.08
K68 RGB (Black),Keyboards,85,109,872,Corsair,8.75,705,6/30/2022,black,74120
Juice Fountain Elite (Red),Kitchen,299.95,351,243,Breville,9.2,209,1/29/2021,red,72887.85
"Sportswear Club Fleece Joggers (Gray, XL)",Clothing,55,0,122,Nike,8.75,106,9/17/2023,gray,6710
Cold Brew Coffee Maker (Red),Kitchen,79.99,240,382,KitchenAid,8.6,299,1/2/2023,red,30556.18
Gear S3 Frontier (Green),Watches,199.99,275,822,Samsung,8.75,646,5/19/2020,green,164391.78
KSB1570ER 5-Speed Blender (Blue),Kitchen,99.99,150,785,KitchenAid,8.75,626,5/7/2021,blue,78492.15
"Move Style Edition (Wireless, Brown)",Headphones,99.99,1,901,Jabra,8.3,731,9/15/2022,brown,90090.99
"Surface Pro 9 (256GB, Purple)",Tablets,999,151,597,Microsoft,8.75,456,9/28/2021,purple,596403
"RU7100 (75"", Blue frame)",TVs,1199,277,942,Samsung,8.5,766,3/12/2023,blue,1129458
Watch Series 2 (Red),Watches,369,435,397,Apple,8.75,307,12/3/2022,red,146493
"Surface Pro 7 (64GB, Black)",Tablets,749,480,858,Microsoft,8.6,688,4/23/2021,black,642642
"Essentials Hoodie (Green, L)",Clothing,75,124,439,Adidas,8.5,360,1/9/2021,green,32925
Draycoll Recliner (Blue),Furniture,450,245,445,Ashley Furniture,8.75,350,6/13/2021,blue,200250
Switch OLED (Purple),Gaming Consoles,349.99,406,91,Nintendo,8.75,73,5/11/2022,purple,31849.09
Genesis Mini (Black),Gaming Consoles,79.99,145,37,Sega,8.5,31,11/2/2023,black,2959.63
Air Fryer XXL (Orange),Kitchen,249.99,0,299,Philips,8.75,240,8/11/2024,orange,74747.01
G Pro Mechanical (Red),Keyboards,129.99,279,452,Logitech,8.75,359,9/24/2022,red,58755.48
"Zig Kinetica (Brown, EU 46)",Shoes,120,0,625,Reebok,8.5,485,1/25/2025,brown,75000
"Galaxy Note10 (1TB, Black)",Smartphones,1299.99,206,397,Samsung,8.75,325,1/10/2023,black,516096.03
Apex 100 (Brown),Keyboards,49.99,399,181,SteelSeries,7.85,144,7/30/2025,brown,9048.19
"Jersey Dress (Blue, XS)",Clothing,19.99,81,591,H&M,8.45,470,3/16/2022,blue,11814.09
"OLED B1 (75"", Black frame)",TVs,2499,0,103,LG,8.75,85,2/13/2023,black,257397
Ektorp Sofa (Gray),Furniture,499,0,125,IKEA,8.5,94,2/19/2025,gray,62375
Forerunner 245 (Red),Watches,299.99,293,33,Garmin,8.75,28,5/10/2023,red,9899.67
"Latitude 7400 (64GB, Green)",Laptops,1500,259,670,Dell,8.5,517,5/10/2021,green,1005000
"PXC 550 (Wired, Red)",Headphones,249.99,278,276,Sennheiser,8.75,234,2/7/2022,red,68997.24
"QuietComfort 35 II (Wireless, Black)",Headphones,299,147,832,Bose,9.3,661,7/4/2020,black,248768
Paw Patrol Mighty Lookout Tower (White),Toys,129.99,276,135,Spin Master,8.75,111,9/12/2020,white,17548.65
"Iso-Chill Shorts (Black, L)",Clothing,40,0,327,Under Armour,8.25,275,7/8/2023,black,13080
Smart Screen Blender (Green),Kitchen,149.99,466,603,Ninja,8.75,468,11/3/2022,green,90443.97
Rock-a-Stack (Purple),Toys,9.99,498,761,Fisher-Price,8.75,610,5/28/2023,purple,7602.39
Galaxy Watch 5 (White),Watches,279.99,318,460,Samsung,8.75,370,7/2/2020,white,128795.4
"Blazer Mid '77 (White, EU 44)",Shoes,100,466,951,Nike,8.65,756,12/14/2021,white,95100
"Air Zoom Pegasus 38 (Blue, EU 44)",Shoes,120,110,349,Nike,9.2,293,12/31/2022,blue,41880
"ROG Strix Scar 15 (256GB, Black)",Laptops,2000,498,795,Asus,8.5,631,7/14/2022,black,1590000
XEGS (Brown),Gaming Consoles,150,0,470,Atari,7.5,367,12/29/2023,brown,70500
HD2137 Pressure Cooker (Red),Kitchen,80,115,780,Philips,8.75,622,3/6/2023,red,62400
"8T (64GB, Yellow)",Smartphones,449,215,726,OnePlus,8.75,594,10/15/2022,yellow,325974
"Fresh Foam 1080 (Red, EU 44)",Shoes,160,0,205,New Balance,9.2,170,1/10/2025,red,32800
Darcy Sofa (Black),Furniture,450,247,516,Ashley Furniture,8.75,398,10/11/2025,black,232200
"MatePad Pro 12.6 (128GB, White)",Tablets,700,75,998,Huawei,8.5,772,4/14/2021,white,698600
The Grind Control (Green),Kitchen,299.95,0,409,Breville,8.75,330,10/20/2024,green,122679.55
Andover Mills Bookcase (Black),Furniture,120,0,255,Wayfair,8.2,219,4/30/2025,black,30600
Strafe RGB MK.2 (Yellow),Keyboards,150,0,346,Corsair,8.7,279,6/12/2021,yellow,51900
Mercury Row Merwin TV Stand (Red),Furniture,250,388,438,Wayfair,8.25,350,4/9/2022,red,109500
Barista Express (Gray),Kitchen,699.95,0,959,Breville,9.12,757,12/15/2020,gray,671252.05
M720 Triathlon (Purple),Mice,49.99,0,673,Logitech,8.75,538,3/5/2022,purple,33643.27
Pro Type Ultra (Red),Keyboards,179.99,243,533,Razer,8.75,415,8/21/2020,red,95934.67
Cannery Bridge Storage Chest (Green),Furniture,179.99,0,1000,Sauder,8.25,810,4/16/2023,green,179990
"Disc Blaze (Orange, EU 39)",Shoes,120,474,492,Puma,8.5,402,3/30/2025,orange,59040
"Evolve2 65 (Wired, Purple)",Headphones,180,0,227,Jabra,8.5,173,12/28/2024,red,40860
"Alphaskin Tights (Black, XL)",Clothing,45,146,783,Adidas,8.75,634,1/26/2021,black,35235
"Tiro 21 Track Pants (Yellow, XXL)",Clothing,50,263,843,Adidas,8.75,705,6/11/2020,yellow,42150
PlayStation Classic (Blue),Gaming Consoles,59.99,0,53,Sony,7.5,44,2/14/2023,blue,3179.47
"Gazelle (Orange, EU 44)",Shoes,100,465,216,Adidas,8.75,175,10/10/2022,orange,21600
Flashback Portable (Brown),Gaming Consoles,59.99,35,221,Atari,8,174,3/25/2022,brown,13257.79
"6 (1TB, Black)",Smartphones,599,294,388,OnePlus,8.5,322,4/11/2023,black,232412
Air Hogs Super Soft (Purple),Toys,29.99,86,943,Spin Master,8.45,743,3/23/2023,purple,28280.57
Pico (Yellow),Gaming Consoles,80,467,861,Sega,7.5,687,7/8/2020,yellow,68880
PlayStation 3 (Black),Gaming Consoles,150,0,674,Sony,8.5,526,8/3/2021,black,101100
Operation (Gray),Toys,19.99,0,827,Hasbro,8.75,644,8/22/2022,gray,16531.73
"Mi 10 (64GB, Orange)",Smartphones,299,391,207,Xiaomi,8.7,168,10/30/2023,orange,61893
"70PUS6724 (65"", Brown frame)",TVs,700,0,673,Philips,8.25,537,11/15/2025,brown,471100
Wade Logan Dining Table (White),Furniture,450,425,809,Wayfair,8.7,645,2/14/2021,white,364050
G-Shock Rangeman (Brown),Watches,300,0,933,Casio,8.75,738,12/18/2024,brown,279900
Spiralizer Attachment (Yellow),Kitchen,89.99,129,918,KitchenAid,8.75,713,1/30/2023,yellow,82610.82
Hemnes TV Bench (Yellow),Furniture,149,0,717,IKEA,8.25,587,2/25/2024,yellow,106833
Rainforest Jumperoo (Green),Toys,109.99,62,799,Fisher-Price,8.75,633,10/26/2023,green,87882.01
Duo Crisp + Air Fryer (Gray),Kitchen,149.99,328,74,Instant Pot,9.2,64,6/12/2024,gray,11099.26
"iPad Pro 11 (2018) (128GB, Green)",Tablets,649,0,686,Apple,9.2,556,11/15/2020,green,445214
"Beats Solo3 (Wired, Yellow)",Headphones,99,483,916,Apple,8.5,721,9/14/2022,red,90684
Etch A Sketch (Yellow),Toys,15.99,461,882,Spin Master,8.5,713,9/30/2025,yellow,14103.18
Arc Mouse (Green),Mice,79.99,0,428,Microsoft,8.5,337,12/28/2025,green,34235.72
"Elite 45h (Wireless, Green)",Headphones,99.99,102,57,Jabra,8.75,42,4/6/2020,green,5699.43
Scrabble (Blue),Toys,19.99,0,597,Mattel,8.75,483,2/17/2022,blue,11934.03
Strafe RGB MK.2 (White),Keyboards,129.99,67,467,Corsair,8.75,360,4/27/2023,white,60705.33
"QLED Q70A (75"", Brown frame)",TVs,1699.99,0,213,Samsung,8.75,174,6/1/2020,brown,362097.87
"Own the Run Tee (Green, XXL)",Clothing,35,0,184,Adidas,8.75,147,11/14/2023,green,6440
Charge 5 (Blue),Watches,149.95,,834,Fitbit,8.75,694,9/20/2020,blue,125058.3
"Basket (Brown, EU 39)",Shoes,75,0,860,Puma,8.5,691,4/4/2020,brown,64500
Galaxy Watch 5 (Black),Watches,279.99,12,268,Samsung,8.75,216,12/29/2023,black,75037.32
"MDR-7506 (Wired, Brown)",Headphones,100,236,144,Sony,9.25,115,12/13/2023,red,14400
K60 RGB Pro (Yellow),Keyboards,70,0,573,Corsair,8.5,457,12/25/2024,yellow,40110
Lark Manor End Table (Yellow),Furniture,150,233,922,Wayfair,8.75,728,12/9/2023,yellow,138300
"iPhone X (256GB, Orange)",Smartphones,749,0,730,Apple,8.5,579,4/18/2021,orange,546770
"VivoBook 15 X512 (256GB, Brown)",Laptops,500,288,913,Asus,8.5,742,1/10/2020,brown,456500
USB Mouse (Black),Mice,29.99,241,419,Apple,8.75,334,6/21/2021,black,12565.81
Mamba Elite (Purple),Mice,89.99,256,353,Razer,8.75,284,6/10/2025,purple,31766.47
"UA Rush T-Shirt (Yellow, L)",Clothing,35,446,520,Under Armour,8.5,416,2/15/2020,yellow,18200
"MacBook Pro 14 (2021) (1TB, White)",Laptops,2299,216,821,Apple,9.2,687,6/22/2023,white,1887479
Havalance Coffee Table (Purple),Furniture,299.99,474,549,Ashley Furniture,8.25,429,12/18/2024,purple,164694.51
"SoundLink Around-Ear II (Wireless, Black)",Headphones,229,26,715,Bose,8.75,586,11/14/2024,black,163735
"Inspiron 14 5000 (128GB, Green)",Laptops,600,0,392,Dell,8.3,315,11/8/2024,green,235200
"Pro Tights (Green, L)",Clothing,65,351,882,Nike,8.75,728,11/13/2022,green,57330
"Alphabounce (Black, EU 46)",Shoes,120,260,229,Adidas,8.5,184,10/12/2024,black,27480
Duo 7-in-1 (Green),Kitchen,99.99,56,436,Instant Pot,8.5,350,7/13/2021,green,43595.64
"Armour Fleece Pants (Red, XS)",Clothing,45,418,597,Under Armour,8.5,475,3/31/2020,red,26865
"Ultraboost 21 (Brown, EU 39)",Shoes,180,466,572,Adidas,8.75,461,12/8/2021,brown,102960
"Move Style Edition (Wireless, Green)",Headphones,99.99,144,12,Jabra,8.5,9,5/6/2021,green,1199.88
Darcy Sofa (Black),Furniture,450,247,516,Ashley Furniture,8.75,403,10/11/2025,black,232200
Gear Fit2 Pro (Green),Watches,130,71,466,Samsung,8.35,376,3/23/2023,green,60580
Prime Wireless (Brown),Mice,139.99,309,874,SteelSeries,8.75,689,11/23/2025,brown,122351.26
"MacBook Air M2 (2022) (512GB, Brown)",Laptops,1349,0,480,Apple,9.25,392,10/5/2020,brown,647520
G-Shock Rangeman (Green),Watches,300,425,571,Casio,8.75,463,12/8/2020,green,171300
Monster High Doll (Brown),Toys,25.99,297,919,Mattel,7.8,733,7/15/2023,brown,23884.81
"50PUS7506 (50"", Orange frame)",TVs,450,40,544,Philips,7.8,413,3/6/2022,orange,244800
"TU8000 (50"", Brown frame)",TVs,400,7,751,Samsung,8.5,618,6/10/2025,brown,300400
"LinkBuds S (Wired, White)",Headphones,79.99,490,787,Sony,8.45,603,1/18/2022,red,62952.13
Cottage Road Coffee Table (Orange),Furniture,139.99,164,576,Sauder,8.2,456,9/1/2023,orange,80634.24
K70 Pro Mini Wireless (Orange),Keyboards,179.99,61,204,Corsair,8.75,157,9/20/2024,orange,36717.96
"Ignite (Purple, EU 46)",Shoes,100,0,794,Puma,8.75,637,6/30/2024,purple,79400
Forerunner 245 (Purple),Watches,299.99,390,167,Garmin,8.75,133,12/21/2022,purple,50098.33
Venu (Purple),Watches,349.99,274,483,Garmin,8.75,389,7/26/2020,purple,169045.17
Pro IntelliMouse (Gray),Mice,59.99,115,804,Microsoft,8.75,655,7/7/2020,gray,48231.96
"75R635 (43"", Gray frame)",TVs,499,4,88,TCL,8.5,71,1/4/2021,gray,43912
"50PUS7506 (43"", Gray frame)",TVs,350,30,128,Philips,8.2,100,12/22/2024,gray,44800
"XPS 17 (9700) (1TB, Black)",Laptops,2500,189,238,Dell,8.5,180,3/9/2024,black,595000
G613 Wireless (Brown),Keyboards,100,404,213,Logitech,8.75,175,3/1/2022,brown,21300
"SB Icon Hoodie (Blue, XL)",Clothing,80,119,422,Nike,8.75,334,7/26/2023,blue,33760
PlayStation 1 (Red),Gaming Consoles,80,229,225,Sony,8.5,178,3/9/2021,red,18000
"Tab P11 (256GB, White)",Tablets,300,341,715,Lenovo,8.5,572,10/24/2024,white,214500
"Air Zoom Pegasus 38 (White, EU 46)",Shoes,120,73,976,Nike,8.75,767,10/8/2023,white,117120
"Tech Shorts (Purple, M)",Clothing,35,204,502,Under Armour,8.7,393,5/31/2023,purple,17570
"HD 800S (Wireless, Purple)",Headphones,1699,0,262,Sennheiser,9.3,206,2/21/2025,purple,445138
Baby-G BA110 (Blue),Watches,120,365,983,Casio,8.75,774,2/16/2023,blue,117960
"Galaxy Note20 (512GB, Purple)",Smartphones,1299.99,0,770,Samsung,8.75,625,10/24/2024,purple,1000992.3
Flashback Portable (Red),Gaming Consoles,59.99,45,715,Atari,7.5,565,9/1/2025,red,42892.85
"Basic Hoodie (Yellow, XS)",Clothing,24.99,0,169,H&M,8.5,139,12/9/2025,yellow,4223.31
"Air Max 90 (Blue, EU 40)",Shoes,130,0,76,Nike,8.75,67,12/22/2022,blue,9880
"WH-1000XM4 (Wireless, Orange)",Headphones,348,27,935,Sony,9.5,742,6/15/2025,orange,325380
DeathAdder Essential (Purple),Mice,49.99,111,32,Razer,8.5,25,9/2/2024,purple,1599.68
"Alphaskin Tights (Brown, XS)",Clothing,35,195,669,Adidas,8.5,523,12/29/2021,brown,23415
Modern Keyboard with Fingerprint ID (Red),Keyboards,129.99,0,336,Microsoft,8.5,270,11/11/2021,red,43676.64
"MediaPad T5 (512GB, Yellow)",Tablets,280,59,482,Huawei,8.2,390,8/6/2023,yellow,134960
"WF-C500 (Wireless, Orange)",Headphones,79.99,0,851,Sony,8.6,679,11/18/2021,orange,68071.49
"Suede Classic (Yellow, EU 39)",Shoes,70,138,2,Puma,8.45,2,8/12/2023,yellow,140
Transformers Bumblebee (Blue),Toys,24.99,0,805,Hasbro,8.75,654,1/9/2025,blue,20116.95
"4-Series 55S435 (65"", Brown frame)",TVs,450,0,477,TCL,8.25,406,10/20/2025,brown,214650
Laugh & Learn Smart Stages Puppy (Brown),Toys,24.99,128,699,Fisher-Price,8.75,545,8/6/2025,brown,17468.01
"RS-X3 (Red, EU 42)",Shoes,110,128,349,Puma,8.5,282,12/23/2025,red,38390
Wade Logan Dining Table (Purple),Furniture,350,0,527,Wayfair,8,437,4/25/2020,purple,184450
PlayStation 4 (Gray),Gaming Consoles,299.99,355,394,Sony,8.5,302,5/22/2024,gray,118196.06
"MediaPad T5 (512GB, Purple)",Tablets,300,0,875,Huawei,7.5,702,4/14/2025,purple,262500
"6T (512GB, Green)",Smartphones,499,0,943,OnePlus,8.5,744,2/22/2020,green,470557
"Galaxy Tab S4 (256GB, Purple)",Tablets,750,77,927,Samsung,8.5,746,3/19/2023,purple,695250
"Beats Solo3 (Wired, White)",Headphones,150,178,416,Apple,8.75,329,5/4/2021,red,62400
"Cortez (Blue, EU 44)",Shoes,100,342,66,Nike,8.75,51,7/10/2022,blue,6600
Modern Keyboard with Fingerprint ID (Purple),Keyboards,129.99,381,155,Microsoft,8.5,126,5/3/2022,purple,20148.45
"iPad mini (2021) (512GB, White)",Tablets,749,0,330,Apple,8.75,260,1/31/2021,white,247170
"Galaxy Note10 (64GB, Green)",Smartphones,750,0,365,Samsung,8.75,292,12/17/2024,green,273750
"Elite 45h (Wireless, Blue)",Headphones,99.99,182,660,Jabra,8.7,526,5/8/2022,blue,65993.4
"Galaxy Note10 (1TB, Yellow)",Smartphones,1399,0,862,Samsung,8.75,702,12/21/2023,yellow,1205938
Xbox Series X (Black),Gaming Consoles,499.99,0,424,Microsoft,9.2,339,2/27/2020,black,211995.76
Cynosa Chroma (Green),Keyboards,59.99,414,452,Razer,8.5,352,2/16/2023,green,27115.48
Masters of the Universe He-Man (Red),Toys,24.99,0,691,Mattel,8.75,559,3/18/2020,red,17268.09
"NMD R1 (Blue, EU 39)",Shoes,140,308,142,Adidas,8.5,112,10/31/2023,blue,19880
Shoal Creek Dresser (Purple),Furniture,250,348,743,Sauder,8.25,587,9/10/2020,purple,185750
"55OLED806 (50"", Orange frame)",TVs,1200,172,45,Philips,8.5,35,10/25/2023,orange,54000
"HD 450BT (Wired, Purple)",Headphones,99.95,73,993,Sennheiser,8.5,804,1/6/2020,red,99250.35
Sense (Orange),Watches,99.95,0,491,Fitbit,8.75,376,4/26/2023,orange,49075.45
"ENVY 13 (1TB, Orange)",Laptops,1150,356,939,HP,8.4,762,10/22/2023,orange,1079850
Approach S62 (Gray),Watches,499.99,0,600,Garmin,8.75,474,6/4/2020,gray,299994
"Surface Go 3 (1TB, Red)",Tablets,799,0,290,Microsoft,8.2,229,4/15/2023,red,231710
Pro IntelliMouse (Brown),Mice,59.99,367,760,Microsoft,8.5,600,7/23/2020,brown,45592.4
WWE Action Figure (Yellow),Toys,19.99,0,568,Mattel,8.5,441,8/19/2022,yellow,11354.32
Smart WiFi (Yellow),Kitchen,130,0,270,Instant Pot,8.75,201,8/7/2021,yellow,35100
Xbox Series X (White),Gaming Consoles,499.99,447,985,Microsoft,8.75,784,8/10/2021,white,492490.15
"OLED B1 (50"", Green frame)",TVs,1300,5,945,LG,8.4,751,7/17/2023,green,1228500
Rubik's Cube (White),Toys,12.99,437,538,Spin Master,8.5,427,1/9/2025,white,6988.62
"Ultraboost 21 (Purple, EU 46)",Shoes,180,39,291,Adidas,8.75,218,7/14/2022,purple,52380
"EliteBook 840 G6 (64GB, Purple)",Laptops,1200,0,982,HP,8.75,802,6/5/2021,purple,1178400
"Rox Wireless (Wireless, Orange)",Headphones,80,461,603,Jabra,8.5,483,1/7/2023,orange,48240
"HD 800S (Wireless, Orange)",Headphones,1699.95,0,476,Sennheiser,9.2,377,6/30/2021,orange,809176.2
Galaxy Watch 4 Classic (Blue),Watches,299,334,812,Samsung,8.5,653,7/22/2025,blue,242788
Watch Series 7 (Gray),Watches,399,0,290,Apple,8.5,223,7/8/2024,gray,115710
"MacBook Air (2017) (1TB, Purple)",Laptops,450,208,113,Apple,8,96,5/11/2022,purple,50850
Billy Bookcase (White),Furniture,79.99,0,489,IKEA,8.7,393,6/28/2024,white,39115.11
"513 Slim Straight (Yellow, XXL)",Clothing,69.99,0,403,Levi's,8.3,303,7/17/2020,yellow,28205.97
"MediaPad M6 (64GB, Green)",Tablets,280,82,695,Huawei,8.5,551,5/31/2023,green,194600
"Galaxy Tab S4 (64GB, White)",Tablets,350,37,260,Samsung,8.5,211,3/29/2023,white,91000
Foodi Smoothie Bowl Maker (Blue),Kitchen,119.99,0,73,Ninja,9.2,51,12/16/2021,blue,8759.27
Sensei Ten (Blue),Mice,69.99,111,213,SteelSeries,8.75,163,5/13/2024,blue,14907.87
Digital Media Keyboard 3000 (Red),Keyboards,39.99,340,892,Microsoft,8.5,713,2/28/2024,red,35671.08
Vivoactive 4 (Black),Watches,249.99,279,479,Garmin,8.6,386,7/18/2023,black,119745.21
Apex 3 (Brown),Keyboards,49.99,75,904,SteelSeries,8.75,727,1/12/2025,brown,45190.96
Galaxy Watch Active (White),Watches,199.99,0,48,Samsung,8.5,35,1/4/2022,white,9599.52
"8 (1TB, Green)",Smartphones,699,0,964,OnePlus,8.5,781,4/18/2022,green,673836
Nerf Elite 2.0 (Red),Toys,19.99,0,359,Hasbro,8.75,288,6/28/2025,red,7176.41
Kinect (Green),Gaming Consoles,129.99,0,409,Microsoft,7.85,324,3/6/2021,green,53165.91
City Police Station (60141) (Yellow),Toys,99.99,0,395,LEGO,8.65,320,4/21/2025,yellow,39496.05
"70PUS6724 (65"", Black frame)",TVs,700,0,124,Philips,8.5,94,11/30/2020,black,86800
"6-Series R648 (8K) (55"", Red frame)",TVs,999,392,498,TCL,8.25,412,11/12/2024,red,497502
Flashback 8 (Gray),Gaming Consoles,59.99,93,373,Atari,8.5,284,7/8/2025,gray,22376.27
Saturn (Yellow),Gaming Consoles,150,0,928,Sega,7.5,756,2/5/2020,yellow,139200
Greyleigh Coffee Table (Brown),Furniture,250,0,784,Wayfair,8.45,626,4/24/2022,brown,196000
"iPad Pro 11 (2018) (1TB, Blue)",Tablets,999,35,606,Apple,8.7,496,2/21/2025,blue,605394
"Court Victory Skirt (Gray, XS)",Clothing,60,76,55,Nike,8.5,44,7/27/2020,gray,3300
"Sport Earbuds (Wired, Purple)",Headphones,49.99,453,685,Bose,8.75,551,9/13/2022,red,34243.15
"RC Elite (Orange, EU 46)",Shoes,225,0,998,New Balance,8.75,796,8/11/2024,orange,224550
"VivoBook S15 (512GB, Red)",Laptops,749,316,774,Asus,8.3,634,5/29/2023,red,579726
Enchantimals Doll (Green),Toys,9.99,0,317,Mattel,8.25,249,2/13/2020,green,3166.83
Lancehead TE (Blue),Mice,79.99,254,717,Razer,8.5,586,8/16/2025,blue,57352.83
Lynx (Yellow),Gaming Consoles,150,408,595,Atari,7.5,471,9/5/2022,yellow,89250
"Yoga 9i (1TB, Purple)",Laptops,1600,0,272,Lenovo,8.5,235,4/18/2024,purple,435200
Transformers Bumblebee (Purple),Toys,24.99,95,34,Hasbro,8.5,27,1/4/2024,purple,849.66
"iPad Air (2019) (256GB, Orange)",Tablets,549,24,52,Apple,8.7,43,1/24/2021,orange,28548
"MacBook Pro 13 (2020) (128GB, Purple)",Laptops,1299,270,651,Apple,8.5,493,12/21/2022,purple,845649
Hatchimals CollEGGtibles (Blue),Toys,9.99,423,368,Spin Master,8.2,288,5/28/2024,blue,3676.32
Baby-G BA110 (White),Watches,120,327,498,Casio,8.5,406,12/24/2024,white,59760
Wireless Mobile Mouse 1850 (White),Mice,14.99,231,243,Microsoft,8.5,188,12/2/2025,white,3642.57
"Floatride Run (Gray, EU 46)",Shoes,130,0,549,Reebok,8.45,433,11/9/2020,gray,71370
"Air Max 270 (Gray, EU 39)",Shoes,150,176,912,Nike,8.75,709,12/25/2020,gray,136800
Duo Crisp + Air Fryer (Brown),Kitchen,169,0,894,Instant Pot,8.75,715,12/22/2021,brown,151086
Magic Trackpad (Green),Mice,129,230,249,Apple,9.2,201,8/31/2022,green,32121
Kinect (Gray),Gaming Consoles,99.99,324,167,Microsoft,7.85,126,10/31/2023,gray,16698.33
"Pro HyperWarm Top (Yellow, S)",Clothing,75,244,960,Nike,8.5,774,12/13/2024,yellow,72000
"MacBook Pro 16 (2021) (64GB, Green)",Laptops,4099,0,659,Apple,9.5,530,7/15/2021,green,2701241
"P20 (256GB, Blue)",Smartphones,399,324,180,Huawei,8.2,151,8/2/2024,blue,71820
"Galaxy Tab S6 (512GB, Gray)",Tablets,729.99,34,786,Samsung,8.7,633,8/22/2025,gray,573772.14
